ID,Signal
Hendrix,-63
Hendrix,-63
Hendrix,-63
Hendrix,-63
Hendrix,-63
Hendrix,-63
Hendrix,-63
Hendrix,-63
Hendrix,-63
Hendrix,-63
Hendrix,-63
Hendrix,-63
Hendrix,-71
Hendrix,-71
Hendrix,-69
Hendrix,-69
Hendrix,-71
Hendrix,-73
Hendrix,-42
Hendrix,-42
Hendrix,-42
Hendrix,-42
Hendrix,-42
Hendrix,-47
Hendrix,-47
Hendrix,-53
Hendrix,-53
Hendrix,-56
Hendrix,-56
Hendrix,-56
Hendrix,-56
Hendrix,-56
Hendrix,-67
Hendrix,-67
Hendrix,-67
Hendrix,-67
Hendrix,-67
Hendrix,-77
Hendrix,-77
Hendrix,-79
Hendrix,-54
Hendrix,-54
Hendrix,-54
Hendrix,-54
Hendrix,-40
Hendrix,-40
Hendrix,-43
Hendrix,-43
Hendrix,-43
Hendrix,-43
Hendrix,-43
Hendrix,-46
Hendrix,-46
Hendrix,-46
Hendrix,-46
Hendrix,-46
Hendrix,-46
Hendrix,-46
Hendrix,-46
Hendrix,-46
Hendrix,-46
Hendrix,-46
Hendrix,-46
Hendrix,-46
Hendrix,-46
Hendrix,-46
Hendrix,-46
Hendrix,-46
Hendrix,-46
Hendrix,-46
Hendrix,-46
Hendrix,-46
Hendrix,-46
Hendrix,-46
Hendrix,-58
Hendrix,-54
Hendrix,-54
Hendrix,-54
Hendrix,-54
Hendrix,-54
Hendrix,-54
Hendrix,-68
Hendrix,-68
Hendrix,-68
Hendrix,-57
Hendrix,-57
Hendrix,-57
Hendrix,-57
Hendrix,-47
Hendrix,-37
Hendrix,-37
Hendrix,-41
Hendrix,-41
Hendrix,-41
Hendrix,-48
Hendrix,-48
Hendrix,-48
Hendrix,-48
Hendrix,-48
Hendrix,-48
Hendrix,-48
Hendrix,-59
Hendrix,-59
Hendrix,-59
Hendrix,-69
Hendrix,-69
Hendrix,-68
Hendrix,-68
Hendrix,-67
Hendrix,-67
Hendrix,-54
Hendrix,-54
Hendrix,-54
Hendrix,-54
Hendrix,-54
Hendrix,-69
Hendrix,-71
Hendrix,-73
Hendrix,-76
Hendrix,-80
Hendrix,-53
Hendrix,-53
Hendrix,-53
Hendrix,-44
Hendrix,-44
Hendrix,-42
Hendrix,-42
Hendrix,-42
